Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Pennisetum alopecuroides 'Cassian';24-30 in;24-30 in;30-48 in;5 - 9;White;Cassian dwarf fountain grass;Moist to Wet;Full Sun to Partial Shade;October,September,August;Songbirds;Long Blooming,Rain Garden,Ground Cover,Drought Tolerant,Dried Flower,Clay Soil,Bog,Naturalizing; ;Green; ; ;Fall,Summer,Spring; ;
Perovskia atriplicifolia;3-5 ft;2-4 ft;3-4 ft;5 - 9;Lavender-Blue;Russian sage;Dry to Moist;Full Sun;October,September,August,July;Pollinators,Butterflies;Interesting Foliage,Fragrant,Drought Tolerant,Clay Soil,Reblooming,Naturalizing,Long Blooming;Deer Resistant;Silver;Medium;Medium;Summer,Spring,Fall; ;
Phlox stolonifera;6-8 in;2 ft; ;5-9;Pink, Purple;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Pollinators,Butterflies;Long Blooming,Ground Cover,East-Coast Native,Drought Tolerant,Rain Garden,Naturalizing;Deer Resistant;Green; ; ;Spring,Summer; ;
Phlox stolonifera 'Blue Ridge';6-8 in;2 ft; ;5-9;Violet Blue;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Butterflies;Ground Cover,Drought Tolerant; ;Green;Fast; ;Summer,Spring; ;
Phlox stolonifera 'Bruce's White';8-12 in;2 ft;2 ft;5-9;White;Creeping phlox;Moist/Well-Drained;Partial Shade to Full Shade;June,May;Pollinators,Butterflies;Naturalizing,Ground Cover,Fragrant,Drought Tolerant,Rain Garden; ;Green;Medium;Medium;Summer,Spring; ;
Phlox stolonifera 'Sherwood Purple';6-8 in;6-12 in; ;5-9;Violet;Creeping phlox;Moist/Well-Drained;Full Shade to Partial Shade;June,May;Hummingbirds,Butterflies;Naturalizing,Ground Cover,Fragrant,Drought Tolerant,Rain Garden;Deer Resistant;Green;Medium;Medium;Spring,Summer; ;
Phlox subulata;6 in;1-2 ft; ;3-9;Lavender, Pink;Moss phlox;Moist;Full Sun to Partial Shade;May,April;Pollinators,Butterflies;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Rock Garden;Deer Resistant;Green; ;Medium; ; ;
Phlox subulata 'Emerald Blue';3-4 in;12-18 in;12 in;3-9;Blue;Moss phlox;Moist to Dry;Full Sun to Partial Shade;May,April;Butterflies,Pollinators;Rock Garden,Naturalizing,Evergreen,East-Coast Native,Drought Tolerant; ;Blue-Green;Medium;Medium;Fall,Summer,Spring,Winter; ;
Phlox subulata 'Emerald Pink';6 in; ; ;3-9;Pink;Moss phlox;Moist to Dry;Full Sun to Partial Shade;May,April;Butterflies,Pollinators;Ground Cover,Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Rock Garden,Naturalizing; ;Green;Medium;Medium;Fall,Summer,Spring,Winter; ;
Pycnanthemum flexuosum;2-3 Feet;3-4 ft;2 ft;5-8;White;Appalachian Mountain Mint;Moist to Dry;Full Sun to Partial Shade;September,August;Butterflies,Pollinators;Rain Garden,Fragrant,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Pycnanthemum incanum;3-4 Feet;2-3 ft;2 ft;5-8;White;Hoary mountain mint;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Dried Flower,Rock Garden,Cut Flower,Naturalizing,Clay Soil,Rain Garden,Long Blooming,Fragrant;Deer Resistant;Green;Medium; ;Spring,Summer; ;
Pycnanthemum muticum;2-3 ft;2 ft;2 ft;4-8;Pink, White;Short-toothed mountain mint;Moist;Full Sun to Partial Shade;September,August;Pollinators,Butterflies;Interesting Foliage,Fragrant,Drought Tolerant,Rain Garden,Clay Soil,Naturalizing;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Pycnanthemum virginianum;2-3 ft;12-18 in;18-24 in;3 - 7;White;American mountain mint;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;Rain Garden,Drought Tolerant,Dried Flower,Cut Flower,Clay Soil,Naturalizing,Long Blooming,East-Coast Native; ;Green;Medium; ;Summer,Spring; ;
Ratibida pinnata;2-5 ft;2 ft;2-3 ft;3-10;Bright Yellow;Grey-Headed Coneflower;Moist to Dry;Full Sun;August,July,June;Pollinators,Butterflies;Long Blooming,East-Coast Native,Drought Tolerant,Clay Soil,Rain Garden,Naturalizing; ;Green;Fast; ;Summer; ;
Rudbeckia hirta;2-3 ft;1-2 ft;2 ft;3-9;Yellow;Sweet black-eyed Susan;Moist to Dry;Full Sun to Partial Shade;September,August,July;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Green;Medium;Medium;Summer,Spring,Fall; ;
Rudbeckia maxima;6-8 ft;3-4 ft;4 ft;5-9;Yellow;Giant coneflower;Moist to Dry;Full Sun;August,July;Songbirds,Pollinators,Butterflies;Dried Flower,Cut Flower,Rain Garden,Clay Soil,Naturalizing,Drought Tolerant;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Ruellia humilis;1-2 ft;1 ft;18 in;4-8;Pink;Wild petunia;Moist to Dry;Full Sun;July,June,August;Pollinators,Hummingbirds,Butterflies;Drought Tolerant;Deer Resistant;Green;Medium; ;Summer; ;
Salvia nemorosa 'Caradonna';1-2 ft;1-2 ft;2 ft;4 - 8;Purple;Caradonna sage;Dry to Moist;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Long Blooming;Deer Resistant;Green;Medium;Low;Summer,Spring; ;
Salvia nemorosa 'East Freisland';12-18 in;9-12 in;12-18 in;4 - 8;Blue Violet;East Freisland sage;Dry to Moist;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Reblooming,Long Blooming;Deer Resistant;Green;Medium;Low;Summer; ;
Salvia nemorosa 'Wesuwe';12-18 in;12-18 in;18-24 in;3 - 8;Purple;Wesuwe meadow sage;Dry to Moist;Full Sun;September,August,July,June;Songbirds,Pollinators,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Long Blooming;Deer Resistant;Green;Medium;Low;Summer,Spring; ;
Salvia x sylvestris 'May Night';18-24 in;12-18 in; ;4 - 8;Purple;May Night wood sage;Dry to Moist;Full Sun;June,May;Pollinators,Hummingbirds,Butterflies;Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Long Blooming;Deer Resistant;Green;Medium;Low;Summer,Spring; ;
Schizachyrium scoparium;2-4 ft;2-3 ft;12-18 inches;4-10;Green, Tan;Little bluestem;Dry,Well-Drained;Full Sun to Partial Shade;September;Songbirds,Pollinators,Butterflies;Dried Flower,Clay Soil,Naturalizing,Drought Tolerant; ;Gray-Green,Blue-Green;Medium;High;Fall,Summer,Spring,Winter;Cu-Copper;
Schizachyrium scoparium 'Jazz';2 ft;1-2 ft;12-18 in;4-9;Green, Tan;Jazz little bluestem;Dry;Full Sun;September; ;Drought Tolerant;Deer Resistant; ; ;Medium;Fall; ;
Schizachyrium scoparium 'Standing Ovation PP 25202';3-4 ft;12-18 in;12-18 in;3-8;Silver;Little bluestem;Dry;Full Sun to Partial Shade;October,September;Songbirds;Rock Garden,Interesting Foliage,Drought Tolerant,Coastal,Clay Soil; ;Blue;Fast;Medium;Spring,Winter,Fall,Summer; ;
Schizachyrium scoparium 'The Blues';2-3 ft;1-2 ft;12-18 in;4-9;Green, Tan;Little bluestem;Dry;Full Sun;September; ;Drought Tolerant;Deer Resistant; ; ;Medium;Fall; ;
Scutellaria incana;2-3 ft;1-2 ft;2 ft;4-9;Lavender-Blue;hoary skull cap;Dry to Moist;Light Shade;September,August,July;Pollinators,Hummingbirds;Naturalizing,Drought Tolerant,Coastal,Clay Soil;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Sedum cauticola 'Lidakense';3-4 in;8-12 in;8 in;4 - 11;Rose;Lidakense stonecrop;Dry to Moist;Full Sun;September,August;Pollinators,Butterflies;Evergreen,Drought Tolerant,Container,Rock Garden,Clay Soil,Long Blooming,Ground Cover,Interesting Foliage;Deer Resistant;Gray-Green;Slow; ;Spring,Winter,Fall,Summer; ;
Sedum sieboldii;6-12 in;10-12 in;12 in;3 - 9;Pink;October stonecrop, October daphne;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Container,Clay Soil,Rock Garden,Ground Cover;Deer Resistant;Gray-Green,Blue-Green;Medium;Low;Fall,Summer,Spring; ;
Sedum spectabile 'Autumn Joy';18-24 in;18-24 in;18-24 in;3 - 9;Rose;Autumn Joy stonecrop;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Coastal,Clay Soil,Rock Garden,Naturalizing; ;Gray-Green;Medium;Low;Fall,Summer,Spring; ;
Sesleria autumnalis;9-24 in;12-18 in;18-24 in;5-9;White;Autumn Moor Grass;Moist to Dry;Full Sun to Partial Shade;April;Pollinators;Rock Garden,Ground Cover,Interesting Foliage,Drought Tolerant;Deer Resistant;Chartreuse;Medium; ;Spring,Winter,Fall,Summer; ;
Sesleria x 'Greenlee Hybrid';8-12 in;8-12 in;16-24 in;5-9;White;Greenlee's Hybrid Moor Grass;Average,Well-Drained,Dry;Full Sun,Light Shade,Sun/Light Shade;April;Pollinators;Drought Tolerant,Rock Garden;Deer Resistant;Chartreuse;Medium; ;Winter,Fall,Summer,Spring; ;
Silene caroliniana;1 ft;9-12 in;12-18 in;4-8;Pink;Wild pink;Well-Drained,Dry to Moist;Full Sun to Partial Shade;June,May;Pollinators,Butterflies;Rock Garden,Naturalizing,Ground Cover,Drought Tolerant; ;Green;Medium; ;Spring,Fall,Summer; ;
Silphium laciniatum;5-9 ft;2-3 ft;2-3 ft;3 - 8;Yellow;Compass plant;Average;Full Sun;September,August,July;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Slow; ;Summer,Spring; ;
Silphium perfoliatum;4-10 ft;4-6 ft; ;4-8;Yellow;Cup plant;Moist to Dry;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Clay Soil,Rain Garden,Bog,Naturalizing,East-Coast Native; ;Green;Medium; ;Summer,Spring; ;
Silphium terebinthinaceum;3-10 ft;1-3 ft;2-3 ft;4 - 8;Yellow;Prairie dock;Average; ;September,August,July;Butterflies,Pollinators;Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Naturalizing,Long Blooming; ;Green;Slow; ;Summer,Spring; ;
Solidago bicolor;1-3 ft;1 ft;12-18 in;3 - 8;White;silverrod;Dry to Moist;Full Sun to Partial Shade;October,September,August,July;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Long Blooming,Ground Cover;Deer Resistant; ;Medium;Medium;Summer,Spring,Fall; ;
Solidago caesia;2-3 ft;1-2 ft;2 ft;4-8;Yellow;Blue-stem goldenrod;Moist to Dry;Full Shade to Partial Shade;October,September;Butterflies,Songbirds,Pollinators;Naturalizing,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden; ;Green;Medium;Medium;Fall,Summer,Spring; ;
Solidago flexicaulis;3 ft;1-2 ft;2-3 ft;2-9;Yellow;Zig-zag goldenrod;Dry;Full Shade to Partial Shade;October,September,August;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing;Deer Resistant;Green; ; ; ; ;
Solidago nemoralis;6-30 in;6-30 in;12-30 in;3-9;Yellow;Prairie goldenrod;Dry;Full Sun;November,October,September,August;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Green;Medium; ; ; ;
Solidago rigida;2-5 ft;1-2 ft;2-3 ft;3-9;Yellow;Stiff goldenrod;Moist to Dry;Full Sun;October,September;Songbirds,Pollinators,Butterflies;Naturalizing,Cut Flower,Clay Soil;Deer Resistant;Green;Medium;Medium;Spring,Fall,Summer; ;
Solidago rigida ssp. humilis 'Golden Rockets';2 ft;2 ft;2-3 ft;3 - 9;Yellow;Golden Rockets goldenrod;Dry to Moist;Full Sun;October,September;Pollinators,Butterflies;Dried Flower,Cut Flower,Container,Clay Soil,Rock Garden,Naturalizing,Drought Tolerant; ;Green;Medium;High; ; ;
Sporobolus airoides;4 ft;2 ft;3 ft;4-9;Purple, Yellow;Alkali Sacaton;Moist to Dry,Dry;Full Sun;August;Songbirds,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Naturalizing,Rain Garden,Ground Cover,Fragrant;Deer Resistant;Green,Bronze;Fast;High;Summer,Spring,Winter,Fall; ;
Sporobolus heterolepis;1-2 ft;2-3 ft; ;3-8;Green, Tan;Prairie dropseed;Moist to Dry,Dry;Full Sun;August;Songbirds,Pollinators;Favorite,East-Coast Native,Drought Tolerant,Rock Garden,Naturalizing,Ground Cover,Fragrant;Deer Resistant;Bronze,Green;Fast;Medium;Spring,Winter,Fall,Summer; ;
Stachys officinalis 'Hummello';18-24 in;18-24 in;12-18 in;4 - 8;Red Violet;Hummello betony;Moist/Well-Drained;Full Sun to Partial Shade;September,August,July;Pollinators,Hummingbirds,Butterflies;Ground Cover,Interesting Foliage,Evergreen,Long Blooming;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Stachys x 'Summer Crush';24-30 in;1-2 ft;12-18 in;4-9;Pink, White;Summer Crush betony;Dry to Moist;Full Sun to Partial Shade;July,June;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Reblooming,Container,Long Blooming,Clay Soil,Ground Cover,Interesting Foliage,Favorite;Deer Resistant;Green;Medium; ;Spring,Summer; ;
Stylophorum diphyllum;1-2 ft;1 ft;18-24 in;4-9;Yellow;Celandine poppy;Moist;Partial Shade to Full Shade;April;Pollinators,Butterflies;Ground Cover,East-Coast Native,Drought Tolerant,Rain Garden,Bog,Rock Garden,Naturalizing;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Teucrium chamaedrys;9-12 in;12-24 in;12 in;5 - 9;Lavender-Pink;Wall germander;Dry to Moist;Full Sun;July;Pollinators,Hummingbirds,Butterflies;Cut Flower,Container,Clay Soil,Rock Garden,Ground Cover,Evergreen,Drought Tolerant;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Thermopsis villosa;5 ft;2-3 ft; ;4-9;Yellow;Carolina lupine;Moist to Dry;Full Sun;July,June; ;Drought Tolerant; ;Blue-Green; ; ; ; ;
Tiarella 'New Moon Motley';8-12 in;12-24 in;12-18 in;4-8;White;New Moon Motley foam flower;Moist/Well-Drained;Full Shade to Partial Shade;May,April;Pollinators;Naturalizing,Ground Cover,Evergreen,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Tiarella cordifolia;6-12 Inches;1-2 ft;24-36 in;4-9;White;Creeping foam flower;Moist;Full Shade to Partial Shade;April,May;Pollinators,Butterflies;Naturalizing,Ground Cover,East-Coast Native; ;Green;Medium; ;Summer,Spring,Winter,Fall; ;
Tiarella cordifolia wherryi;10 Inches;10 in;20-24 in;5-7;White;Foam flower;Moist;Full Shade to Partial Shade;May,April;Pollinators,Butterflies;East-Coast Native,Drought Tolerant,Clay Soil,Bog,Naturalizing,Ground Cover,Interesting Foliage; ;Green;Medium; ;Fall,Summer,Spring; ;
Tradescantia ohiensis;2-4 ft;2-3 ft; ;5-8;Light Blue;Ohio spiderwort;Moist to Wet;Partial Shade to Full Sun;September,August,July,June;Butterflies,Pollinators;Rain Garden,Favorite,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing,Long Blooming; ;Blue-Green;Medium; ;Summer,Spring; ;
Tradescantia ohiensis 'Mrs. Loewer';2-3 ft;1-2 ft;18-24 in;3-8;Light Blue;Ohio Spiderwort;Dry to Moist;Sun/Light Shade;September,August,July,June;Pollinators,Butterflies;Long Blooming,East-Coast Native,Drought Tolerant,Cut Flower,Rock Garden,Naturalizing; ;Green;Fast;Low;Fall,Summer,Spring; ;
Verbena bonariensis;2-4 ft;18-36 in;1 ft;7 - 11;Purple;purpletop vervain;Moist;Full Sun to Partial Shade;August,July,June,October,September;Pollinators,Butterflies;Dried Flower,Cut Flower,Container,Reblooming,Clay Soil,Naturalizing,Long Blooming,Drought Tolerant; ;Blue-Green;Fast;Medium;Spring,Fall,Summer; ;
Vernonia glauca;3-5 ft;2-4 ft;3 ft;6-8;Purple;Upland ironweed;Moist to Dry;Full Sun to Partial Shade;September,August;Butterflies,Pollinators;Rock Garden,Naturalizing,Long Blooming,Drought Tolerant,Cut Flower; ;Green;Medium; ;Spring,Summer; ;
Zizia aptera;1-3 Feet;1-2 ft;18-24 in;3-8;Yellow;Heartleaf Alexander's;Moist to Dry;Full Sun to Partial Shade;July,June,May;Butterflies,Pollinators;Rock Garden,Interesting Foliage,Drought Tolerant,Cut Flower,Clay Soil; ;Green; ; ;Spring,Summer; ;
