Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Physostegia virginiana;3-4 ft;2-3 ft; ;3-9;Pink;Obedient plant;Moist to Wet;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing,Long Blooming,Favorite;Deer Resistant;Green;Fast;Medium;Summer,Spring; ;
Physostegia virginiana 'Vivid';2 ft;12-18 in;18 in;3-9;Pink;Obedient plant;Moist to Wet;Full Sun to Partial Shade;September,August;Butterflies,Pollinators,Hummingbirds;Naturalizing,Favorite,Cut Flower,Rain Garden,Clay Soil;Deer Resistant;Green;Fast;Medium;Summer,Spring; ;
Pycnanthemum muticum;2-3 ft;2 ft;2 ft;4-8;Pink, White;Short-toothed mountain mint;Moist;Full Sun to Partial Shade;September,August;Pollinators,Butterflies;Interesting Foliage,Fragrant,Drought Tolerant,Rain Garden,Clay Soil,Naturalizing;Deer Resistant;Green;Medium; ;Summer,Spring; ;
Rudbeckia laciniata;3-8 ft;2-4 ft;3 ft;4-9;Yellow;Green-headed coneflower;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;East-Coast Native,Cut Flower,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing,Long Blooming;Deer Resistant;Green;Medium;Low; ; ;
Rudbeckia laciniata 'Autumn Sun';4-7 ft;3-4 ft;18 Inches;4-9;Yellow;Autumn Sun cut-leaf coneflower;Moist to Wet;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;East-Coast Native,Cut Flower,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing,Long Blooming;Deer Resistant;Green;Medium;Low; ; ;
Sedum ternatum;2-3 in;6-12 in;8 in;3-9;White;three-leaved stone crop;Moist to Dry;Full Shade to Partial Shade;June,May;Butterflies,Pollinators;Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Senecio aureus;1-2 ft;1 ft;18 in;4-9;Yellow;Golden ragwort;Moist to Wet;Partial Shade;May;Pollinators,Butterflies;Ground Cover,East-Coast Native,Cut Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Summer,Spring,Fall; ;
Silene virginica;1-2 ft;1-2 ft;18-24 in;4-8;Red;Fire pink;Moist to Dry;Partial Shade;June,May;Pollinators,Hummingbirds,Butterflies;Ground Cover,Drought Tolerant,Clay Soil,Rock Garden,Naturalizing; ;Green; ; ; ; ;
Silphium perfoliatum;4-10 ft;4-6 ft; ;4-8;Yellow;Cup plant;Moist to Dry;Full Sun;October,September,August;Songbirds,Pollinators,Butterflies;Drought Tolerant,Clay Soil,Rain Garden,Bog,Naturalizing,East-Coast Native; ;Green;Medium; ;Summer,Spring; ;
Sisyrinchium angustifolium 'Suwannee';8-12 in;12-18 in;18 in;6-9;Blue;Blue-eyed grass;Moist to Dry;Full Sun to Partial Shade;June,May; ;Bog,Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Drought Tolerant;Deer Resistant;Green;Medium;Low;Summer,Spring; ;
Solidago graminifolia;2-4 ft;1-2 ft;2 ft;3-9;Yellow;Grass-leaved goldenrod;Moist to Wet;Full Sun to Partial Shade;October,September;Butterflies,Songbirds,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing; ;Green;Medium; ;Fall,Summer,Spring; ;
Solidago rugosa 'Fireworks';3-4 ft;2-3 ft;3-4 ft;4-9;Yellow;Wrinkle-leaf goldenrod;Moist to Wet;Full Sun to Partial Shade;October,September;Butterflies,Songbirds,Pollinators;Long Blooming,Rain Garden,Drought Tolerant,Cut Flower,Clay Soil,Naturalizing;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Sorghastrum nutans;3-5 ft;2-3 ft;3 ft;2-9;Green, Tan;Indian grass;Dry to Moist;Full Sun to Partial Shade;August;Songbirds;Naturalizing,Drought Tolerant,Dried Flower,Clay Soil; ;Green;Fast;Low;Fall,Summer,Spring,Winter; ;
Tradescantia virginiana;2-3 ft;1-2 ft;18-24 in;4-9;Lavender;Spider lily;Moist;Full Sun to Partial Shade;July,June,May;Hummingbirds,Butterflies;Favorite,East-Coast Native,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming; ;Green;Fast; ;Fall,Summer,Spring; ;
Vernonia lettermannii 'Iron Butterfly';2-3 ft;2-3 ft;2-4 ft;4-9;Purple;Iron Butterfly ironweed;Moist to Wet;Full Sun to Partial Shade;October,September,August;Butterflies,Pollinators;Rain Garden,Naturalizing,Long Blooming,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden;Deer Resistant;Green;Fast; ;Fall,Summer,Spring; ;
Vernonia noveborecensis;4-8 ft;2-4 ft;2-4 ft;5-9;Purple;New York ironweed;Moist to Wet;Full Sun to Partial Shade;October,September,August,July;Butterflies,Pollinators;Long Blooming,East-Coast Native,Cut Flower,Clay Soil,Bog,Rain Garden,Naturalizing;Deer Resistant;Green;Medium;Medium;Fall,Summer,Spring; ;
Veronicastrum virginicum;4-8 ft;2-3 ft;2-3 ft;3-8;White;Culver root;Moist to Wet;Full Sun to Partial Shade;August,July;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Rain Garden,Cut Flower,Clay Soil,Bog,Naturalizing,Long Blooming; ;Green;Medium; ;Summer,Spring; ;
Zizia aureus;1-3 ft;1-2 ft;18-24 in;3-9;Yellow;Golden Alexander's;Moist to Wet;Full Sun to Partial Shade;June,May;Butterflies,Pollinators;Naturalizing,Drought Tolerant,Cut Flower,Rain Garden,Clay Soil,Bog,Rock Garden; ;Green; ;Medium;Winter,Summer,Spring; ;
